t	v
332.77	-57.32545414
332.825	-57.38628908
332.88	-57.44726498
332.935	-57.50838235
332.99	-57.56964165
333.045	-57.63104337
333.1	-57.692588
333.155	-57.75427601
333.21	-57.8161079
333.265	-57.87808414
333.32	-57.94020523
333.375	-58.00247164
333.43	-58.06488385
333.485	-58.12744236
333.54	-58.19014765
333.595	-58.2530002
333.65	-58.3160005
333.705	-58.37914903
333.76	-58.44244627
333.815	-58.50589271
333.87	-58.56948884
333.925	-58.63323513
333.98	-58.69713206
334.035	-58.76118013
334.09	-58.82537981
334.145	-58.88973158
334.2	-58.95423592
334.255	-59.01889331
334.31	-59.08370423
334.365	-59.14866916
334.42	-59.21378857
334.475	-59.27906294
334.53	-59.34449274
334.585	-59.41007844
334.64	-59.47582052
334.695	-59.54171945
334.75	-59.6077757
334.805	-59.67398972
334.86	-59.740362
334.915	-59.80689298
334.97	-59.87358314
335.025	-59.94043293
335.08	-60.00744282
335.135	-60.07461324
335.19	-60.14194467
335.245	-60.20943755
335.3	-60.27709233
335.355	-60.34490945
335.41	-60.41288936
335.465	-60.4810325
335.52	-60.5493393
335.575	-60.61781021
335.63	-60.68644564
335.685	-60.75524604
335.74	-60.82421183
335.795	-60.89334342
335.85	-60.96264123
335.905	-61.03210569
335.96	-61.10173719
336.015	-61.17153615
336.07	-61.24150296
336.125	-61.31163803
336.18	-61.38194174
336.235	-61.4524145
336.29	-61.52305667
336.345	-61.59386864
336.4	-61.66485079
336.455	-61.73600347
336.51	-61.80732707
336.565	-61.87882192
336.62	-61.95048839
336.675	-62.02232682
336.73	-62.09433756
336.785	-62.16652093
336.84	-62.23887726
336.895	-62.31140688
336.95	-62.38411011
337.005	-62.45698723
337.06	-62.53003857
337.115	-62.60326441
337.17	-62.67666503
337.225	-62.75024072
337.28	-62.82399174
337.335	-62.89791836
337.39	-62.97202083
337.445	-63.04629939
337.5	-63.12075429
337.555	-63.19538575
337.61	-63.27019398
337.665	-63.3451792
337.72	-63.42034161
337.775	-63.49568138
337.83	-63.57119872
337.885	-63.64689377
337.94	-63.72276671
337.995	-63.79881767
338.05	-63.87504679
338.105	-63.95145421
338.16	-64.02804002
338.215	-64.10480434
338.27	-64.18174725
338.325	-64.25886883
338.38	-64.33616914
338.435	-64.41364824
338.49	-64.49130615
338.545	-64.56914291
338.6	-64.64715853
338.655	-64.725353
338.71	-64.8037263
338.765	-64.8822784
338.82	-64.96100926
338.875	-65.0399188
338.93	-65.11900695
338.985	-65.19827362
339.04	-65.27771869
339.095	-65.35734204
339.15	-65.43714351
339.205	-65.51712296
339.26	-65.59728019
339.315	-65.67761502
339.37	-65.75812721
339.425	-65.83881655
339.48	-65.91968278
339.535	-66.00072561
339.59	-66.08194477
339.645	-66.16333994
339.7	-66.24491078
339.755	-66.32665693
339.81	-66.40857804
339.865	-66.49067369
339.92	-66.57294347
339.975	-66.65538694
340.03	-66.73800364
340.085	-66.82079308
340.14	-66.90375474
340.195	-66.9868881
340.25	-67.0701926
340.305	-67.15366765
340.36	-67.23731265
340.415	-67.32112696
340.47	-67.40510993
340.525	-67.48926087
340.58	-67.57357906
340.635	-67.65806378
340.69	-67.74271426
340.745	-67.82752969
340.8	-67.91250927
340.855	-67.99765214
340.91	-68.08295741
340.965	-68.16842419
341.02	-68.25405153
341.075	-68.33983847
341.13	-68.425784
341.185	-68.5118871
341.24	-68.5981467
341.295	-68.6845617
341.35	-68.771131
341.405	-68.85785341
341.46	-68.94472776
341.515	-69.03175282
341.57	-69.11892733
341.625	-69.20625
341.68	-69.29371949
341.735	-69.38133445
341.79	-69.46909348
341.845	-69.55699514
341.9	-69.64503797
341.955	-69.73322046
342.01	-69.82154106
342.065	-69.90999819
342.12	-69.99859024
342.175	-70.08731555
